prod,sex,dex,lex,quit,job_tenure,status
13.17,0,34,12,0,324,1
14.37,1,51,12,0,441,1
14.23,1,42,9,0,271,0
14.12,1,37,13,0,259,1
14.59,1,45,13,0,281,1
14.78,1,53,14,0,656,1
13.85,0,51,12,0,989,1
14.08,1,39,12,1,83,1
15.47,0,52,12,0,421,1
14.45,1,39,12,0,461,1
14.87,1,41,12,1,123,1
14.77,0,48,12,0,451,1
15.75,1,51,11,0,366,1
14.19,1,45,12,0,468,1
16.89,1,57,15,0,1008,1
16.93,1,60,12,0,497,0
14.99,0,35,12,0,422,1
13.92,0,39,12,0,408,0
15.33,1,44,12,0,225,1
12.36,1,36,12,1,178,1
13.97,0,40,15,0,259,1
16.32,1,54,12,0,288,0
12.96,0,36,10,1,96,1
12.75,1,47,14,0,267,1
14.3,1,40,14,0,223,1
14.32,1,46,12,0,525,1
14.42,1,50,12,0,187,1
14.22,1,44,12,0,184,1
15.06,0,46,12,0,326,1
15.5,1,45,12,1,86,1
15.58,1,57,12,0,726,1
10.49,1,40,12,0,362,1
16.64,1,47,11,0,462,1
17.04,0,50,13,0,728,0
15.69,0,40,10,1,93,1
11.25,1,37,12,1,139,1
15.91,0,52,13,0,365,1
16.06,0,53,12,0,342,1
14.12,0,36,12,1,59,1
13.32,1,36,10,0,231,1
15.3,1,54,10,0,355,1
12.99,1,36,12,1,128,1
17.14,1,55,13,0,358,0
13.43,1,45,13,1,131,1
14.63,0,38,11,0,276,0
16.59,1,55,12,0,183,1
15.26,1,45,14,0,368,0
15.78,0,47,10,0,891,0
14.53,1,63,12,0,527,1
14.4,1,42,12,1,120,1
14.86,0,43,12,0,497,1
16.32,1,65,12,0,619,0
14.93,1,50,13,1,119,1
14.39,1,51,12,0,1075,1
15.58,0,44,12,0,689,1
14.59,0,42,12,0,202,0
15.18,1,42,12,0,235,1
15.41,0,41,12,1,165,1
12.99,0,34,8,1,145,1
14.49,1,57,16,0,215,1
13.23,1,32,12,0,230,1
15.22,1,46,10,1,110,1
14.66,0,40,13,0,307,1
14.09,1,54,12,0,212,1
16.18,1,49,12,0,225,1
15.73,1,47,12,1,88,1
13.37,1,45,12,0,260,1
14.45,0,43,14,0,566,1
14.46,1,52,12,0,858,1
15.72,0,57,12,0,533,0
13.44,0,41,11,1,56,1
14.41,1,49,12,0,517,1
13.79,1,51,16,1,179,1
16.59,0,54,12,0,660,1
15.4,1,51,12,0,374,1
16.44,1,52,12,0,477,1
16.58,0,43,12,0,379,1
13.72,0,41,9,0,328,1
13.97,1,46,12,0,345,1
13.24,1,34,12,0,221,1
16.78,0,43,10,0,722,1
12.2,0,40,12,0,221,1
15.31,0,40,13.5,1,76,1
16.83,0,49,12,0,679,1
13.85,0,34,12,0,461,0
14.05,1,48,10.5,0,383,1
12.7,0,42,12,0,358,1
13.63,1,38,12,0,217,1
13.3,1,37,12,0,231,1
14.85,0,40,12,1,136,1
14.88,1,34,12,0,217,1
13.12,1,43,12,0,654,1
14.43,0,40,12,0,441,1
11.66,0,34,13,1,149,1
14.73,1,55,12,0,633,1
11.72,0,34,11,0,188,1
14.15,1,40,12.5,0,402,1
14.39,0,40,12,0,565,1
14.63,0,49,12,0,228,1
14.08,0,44,12,0,401,1
14.43,0,34,12,0,227,1
17.38,1,58,12,0,610,1
14.81,1,44,11,0,480,1
11.94,0,34,11,0,284,1
14.65,0,37,15,1,144,1
14.02,0,44,12,0,348,1
14.05,1,47,12,0,540,1
16.13,0,48,12.5,1,171,1
16.56,0,53,12.5,0,239,1
13.6,1,38,12.3,0,306,1
12.83,1,38,12,1,181,1
15.57,1,46,12,1,134,1
16.54,0,43,12,1,172,1
14.36,1,50,12,1,141,1
12.68,1,40,16,1,74,1
15.78,0,38,10,1,169,1
14.32,1,54,13,0,183,0
16.81,0,46,12,0,269,0
16.63,1,63,14,0,239,1
12.63,0,45,12,0,867,1
12.68,0,39,12,0,472,1
14.61,1,48,12,0,554,1
15.02,0,44,13,0,880,0
14.71,0,40,12,0,193,1
16.65,0,42,12,1,91,1
13.09,1,35,12,0,190,1
17.31,0,54,12.5,0,1114,1
13.68,1,48,12,0,452,0
15.96,0,46,12,0,1080,1
15.49,1,60,10,0,784,1
14.01,1,46,12,0,206,1
15.96,0,46,12,0,313,1
12.7,1,39,12,0,349,1
16.15,1,51,12,0,308,1
13.91,1,44,12.5,0,519,1
13.63,1,37,12,1,122,1
16.78,0,61,12,0,1501,1
13.57,0,40,12,0,512,0
15.69,1,57,12,0,230,1
15.7,0,52,12,0,513,1
14.8,1,54,12,0,636,1
13.93,1,43,12,1,167,1
17.68,0,48,12,0,657,1
14.76,1,56,12,1,167,1
14.97,1,42,12,1,63,1
14.17,0,39,12,0,312,1
15.86,0,34,12,0,193,1
15.96,0,48,12,0,375,1
12.1,0,34,13.3,0,350,0
16.8,0,49,9,0,317,1
15.64,1,48,10,0,417,1
12.59,0,49,12,0,398,1
14.65,0,47,12,0,373,1
12.63,0,39,12.5,0,966,1
12,0,34,12.1,1,88,1
12.54,1,35,14,1,161,1
15.43,0,39,11.75,0,390,1
15.34,0,38,12,0,454,0
14.67,1,46,14,0,541,1
12.53,1,29,12,0,221,1
15.11,1,45,12,0,409,0
14.38,0,35,12.7,0,239,1
14.29,1,51,10,1,125,1
13.83,0,45,11,0,984,1
14.97,0,44,13,0,243,1
14.75,1,47,11,0,454,0
15.94,0,44,12,0,680,1
13.63,0,35,11,0,193,1
14.69,1,39,12,0,186,1
15.3,1,44,12,1,153,1
14.12,1,35,12,1,124,1
13.8,0,46,12,0,242,0
16.92,0,45,12,0,205,1
15.32,0,41,12,0,419,0
16.75,0,45,13,0,666,0
12.83,1,37,12,1,108,1
14.8,1,50,14,0,418,1
13.02,1,57,11,0,1770,0
13.24,0,35,12,0,200,1
12.41,0,43,12,0,430,0
12.95,0,41,13.5,0,1043,0
13.75,0,39,10,0,312,0
15.01,0,39,13,0,587,1
13.9,0,41,13.7,1,141,1
16.47,1,51,13.5,0,1360,0
17.46,0,56,12.5,0,1220,1
13.38,1,46,11,0,314,1
14.16,1,50,12,0,524,1
14.65,1,50,11,0,1223,1
13.51,1,42,11,1,152,1
14.12,0,34,12,1,155,1
16.86,0,55,12,0,2428,1
11.84,1,34,12,1,125,1
15.26,0,42,12,0,445,1
16.55,0,48,13,1,128,1
15.86,0,39,11,0,211,1
14.42,1,43,12,1,109,1
10.85,0,28,10,1,48,1
16.24,1,53,12,0,207,1
16.1,0,56,12.5,1,179,1
13.78,1,35,12,1,91,1
15.48,0,43,12,0,442,1
13.58,0,40,12,0,491,1
14.01,0,40,9,0,1294,1
15.2,1,48,12,0,344,0
16.87,1,47,12,0,269,1
12.22,1,45,12.1,0,929,1
15.8,0,35,12,1,44,1
16.4,0,46,12,0,573,0
12.89,0,34,12.3,0,332,1
14.25,0,46,12,1,93,1
15.4,0,41,12.3,0,220,1
15.09,1,50,12,0,190,1
16.16,0,44,13,1,173,1
18.21,0,53,12,0,766,0
14.08,0,41,12,0,741,0
13.39,1,34,12,1,152,1
15.42,1,44,12,0,421,1
14.96,1,47,12,1,166,1
13.86,1,42,11,1,115,1
16.46,1,54,12,0,510,1
17.08,0,47,11,0,195,1
15.29,1,48,12,1,177,1
13.77,0,41,9,0,189,1
14.37,1,46,12.1,0,310,1
13.44,1,42,14,0,212,1
14.82,0,47,12,0,400,1
13.2,0,34,13.5,1,65,1
15.33,1,51,11,0,624,0
17.43,0,45,12,1,120,1
14.41,1,41,14,0,437,1
12.7,1,51,12,0,327,0
17.21,1,47,12,0,570,1
13.22,1,46,12,0,219,1
13.4,1,35,12,0,371,1
14.9,1,45,12,0,260,1
15.3,0,40,12,0,267,0
14.44,0,45,12,1,139,1
15.56,0,42,12,1,152,1
13.6,0,38,11.5,0,449,1
12.94,1,38,12,0,226,1
15.78,0,46,10,0,457,1
14.73,1,38,12,1,167,1
15.14,1,37,12,1,86,1
13.97,1,46,12,0,393,1
15.11,1,51,12,0,1200,1
16.03,0,42,12,1,88,1
14.35,0,48,12,0,686,1
15.24,1,47,13.7,0,335,1
12.65,1,42,12,1,78,1
16.5,0,44,12,0,216,1
14.76,1,37,12,0,300,1
14.18,1,44,11,0,317,1
13.47,1,49,11,0,470,1
13.9,1,38,11,0,255,1
14.73,1,43,13,0,275,1
15.09,1,38,12.5,0,276,1
13.47,0,34,13,0,1347,1
15.14,0,43,12,1,67,1
13.15,1,44,13,1,103,1
14.12,0,34,10,1,181,1
13.8,0,37,11,0,219,1
15.34,0,40,12,0,669,1
16.1,0,47,13,1,112,1
13.22,0,34,12,0,274,1
15.77,1,58,12,0,168,0
13.89,0,36,12,0,243,1
15.94,0,45,14,0,408,1
17.53,0,41,12,0,298,1
13.73,1,37,13,1,90,1
12.95,1,39,12,0,221,1
13.34,0,56,12,0,863,0
15.08,0,47,12,0,476,1
14.45,1,47,9,1,151,1
14.68,1,42,10,0,263,1
15.88,1,56,12,0,533,1
14.32,1,55,12,0,920,1
13.33,0,29,13.5,0,227,1
13.87,1,45,12,0,266,1
15.57,1,42,12,0,326,1
17.77,0,50,10,0,545,0
13.71,1,53,12,0,877,0
16.18,1,52,12,0,934,1
15.56,1,53,12,0,373,0
13.69,0,41,12,1,144,1
16.51,0,44,12,0,228,1
11.65,1,40,12,0,261,1
15.61,0,52,16,0,1765,1
12.28,1,38,14,1,157,1
13.19,1,34,12,1,111,1
13.31,1,50,12,0,355,0
16.03,1,49,12,0,208,1
14.34,1,41,12,0,222,1
13.06,1,34,11,1,166,1
12.34,1,34,13,0,280,1
15.83,1,58,12.1,0,1117,0
14.49,0,50,14.5,0,557,1
15.7,0,45,12,0,584,1
16.08,0,57,12,0,378,1
13.72,1,58,10,0,228,1
16.57,0,43,14,0,574,1
14.77,0,54,12,0,537,0
14.89,1,49,12,1,97,1
15.01,0,37,12,0,311,1
15.41,1,52,12.5,1,103,1
13.1,1,34,12,0,277,1
15.75,0,44,12,0,804,0
15.21,1,49,12,0,304,1
13.85,1,46,12,0,200,1
14.64,0,44,12,0,261,1
14.62,0,46,12.1,0,208,1
13.32,0,34,12,0,242,1
10.97,0,37,12,1,178,1
15.45,0,40,12,0,251,1
13.7,1,51,12,0,257,1
15.35,0,46,12,0,356,1
17.46,0,46,11,1,141,1
16.01,1,51,12,0,256,1
12.72,0,36,12,0,360,1
15.73,0,44,12,0,296,1
16.93,0,56,13,0,1414,0
15.69,1,49,12,0,395,1
13.36,1,42,14,0,322,1
16.83,1,53,12,0,1027,1
16.1,0,39,12,0,335,1
17.39,0,48,12,1,138,1
12.56,1,36,12,0,313,1
14.32,1,35,10,1,136,1
14.78,0,47,8,0,407,1
15.54,0,46,12,0,829,1
10.78,1,25,10,1,91,1
15.67,0,42,12,0,688,1
13.35,1,45,12,0,398,1
13.2,1,40,12,0,244,0
13.95,1,42,12,0,317,1
13.87,1,44,12.5,0,784,1
14.14,1,39,12,0,334,1
12.1,1,36,12.3,1,172,1
14.66,1,42,12,0,358,1
12.84,1,44,11,0,762,1
15.61,0,37,12.1,0,218,0
13.93,0,39,11.5,0,482,1
16.34,0,51,14,0,735,1
14.13,0,49,12,0,2132,1
14.38,1,49,12,1,144,1
13.06,1,35,12,0,272,1
16.58,0,52,8,0,360,1
14.8,0,51,13,0,219,0
14.53,0,34,12,1,126,1
15.32,1,48,14,0,803,1
14.12,1,34,12,0,272,0
14.66,0,48,13,0,206,1
16.3,0,38,12,1,160,1
13.3,1,39,12,0,428,0
14.39,0,34,12,1,118,1
14.12,1,40,12,0,267,1
15.83,0,41,10,1,68,1
13.14,1,53,12,0,1163,0
17.35,0,54,12,0,305,1
16.16,0,50,12,0,602,0
14.14,1,42,12,0,377,1
15.63,0,42,12,0,464,1
16.96,0,47,11,0,631,1
15.42,1,46,12,1,159,1
14.43,1,52,12,0,287,1
13.55,0,36,14.5,0,458,1
13.63,0,43,12,0,461,0
17.7,0,61,13,0,291,0
13.14,1,40,16,0,291,1
14.92,1,41,12,0,479,1
14.18,1,43,12,0,286,1
15.67,0,53,13,0,617,1
13.02,1,40,12,0,304,1
12.69,1,34,12,0,238,1
13.39,1,34,12,1,122,1
13.32,0,39,10,1,167,1
15.17,1,46,11,0,342,1
13.23,1,29,12,0,203,1
15.67,0,37,12,0,184,1
13.96,0,53,12,0,562,0
14.12,1,36,12,1,131,1
13.29,0,34,12,1,128,1
15.22,0,52,12,0,580,0
14.28,1,44,15.5,0,275,1
15.01,0,43,12,0,304,1
16.17,0,53,12,0,1399,0
13.78,0,38,12,0,314,1
13.94,0,35,10,1,133,1
14.5,1,37,14,1,124,1
16,0,46,12.5,1,110,1
